variable,unit,test,control,diff
OCNFRAC,fraction,0.666,0.664,0.002
SST,K,292.476,292.099,0.377
TS,K,287.946,287.351,0.595
SWCF,W/m2,-46.034,-47.473,1.439
LWCF,W/m2,23.89,24.61,-0.72
PRECT,m/s,3.55e-08,3.49e-08,6e-10
TAUX,N/m2,-0.0068,-0.00605,-0.00075
TAUY,N/m2,-0.0016,-0.00189,0.00029
TGCLDLWP,kg/m2,0.0512,0.0515,-0.0003
